"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Error #";"Error ID";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"";"";"None";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;25;976;40;39040;0.5;18.800;1.279;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.866;1.866;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;2.684;12.9;-40;0;0;-8.4;0;0;0;0;0;98;0;0;1870;114.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.035;25;984;40;39360;0.5;19.200;1.306;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.866;1.866;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;3.073;12.9;-40;0;0;-8.4;0;0;0;0;0;98;0;0;1870;114.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.088;25;983;40;39320;0.5;18.500;1.259;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.866;1.866;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;2.979;12.9;160;0;0;-8.4;0;0;0;0;0;98;0;0;1870;114.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.088;25;976;40;39040;0.5;18.200;1.238;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.866;1.866;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;2.915;12.9;-80;0;0;-8.4;0;0;0;0;0;98;0;0;1870;114.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.208;25;997;40;39880;0.5;17.900;1.218;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.866;1.866;0.000;0.000;14.700;1.000;6.2;0.0;0;29;3.000;3.278;12.9;-80;0;0;-8.4;0;0;0;0;0;98;0;0;1870;112.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.208;25;987;39;38493;0.5;18.200;1.238;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;2.890;12.9;210;0;0;-8.6;0;0;0;0;0;98;0;0;1870;113.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.270;26;997;39;38883;0.5;17.300;1.177;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.2;0.0;0;30;3.000;3.053;12.9;0;0;0;-8.6;0;0;0;0;0;98;0;0;1872;112.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.338;26;986;39;38454;0.5;16.300;1.109;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;2.652;12.9;0;0;0;-8.6;0;0;0;0;0;98;0;0;1872;113.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.466;26;995;39;38805;0.5;15.200;1.034;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.2;0.0;0;29;3.000;2.941;12.9;-60;0;0;-8.6;0;0;0;0;0;98;0;0;1872;112.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.466;26;987;39;38493;0.5;15.100;1.027;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;2.664;12.9;-40;0;0;-8.6;0;0;0;0;0;98;0;0;1872;113.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.532;26;995;39;38805;0.5;16.600;1.129;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.2;0.0;0;29;3.000;2.817;12.9;-40;0;0;-8.6;0;0;0;0;0;98;0;0;1872;112.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.667;26;997;39;38883;0.5;16.000;1.088;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.2;0.0;0;30;3.000;3.055;12.9;30;0;0;-8.6;0;0;0;0;0;98;0;0;1872;112.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.733;26;995;39;38805;0.5;15.400;1.048;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.2;0.0;0;29;3.000;2.871;12.9;50;0;0;-8.6;0;0;0;0;0;98;0;0;1872;112.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.798;26;984;39;38376;0.5;15.100;1.027;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.857;1.857;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;2.851;12.9;50;0;0;-8.6;0;0;0;0;0;98;0;0;1872;114.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.868;26;977;39;38103;0.5;15.600;1.061;29;69;9;0;100;101;100;108;100;109;100;47;47;0;1.881;1.881;0.000;0.000;14.700;1.000;6.1;0.0;0;29;3.000;3.134;12.7;-160;0;0;-8.6;0;0;0;0;0;98;0;0;1872;114.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
