"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"None";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
797.116;54;1374;30;41220;0.5;19.700;1.340;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.702;1.702;0.000;0.000;14.700;1.000;7.8;0.0;0;33;3.000;2.847;13.0;-170;-10.0;0;0;0;0;0;99;0;0;1940;84.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
0.005;54;1374;30;41220;0.5;19.700;1.340;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.702;1.702;0.000;0.000;14.700;1.000;7.8;0.0;0;33;3.000;3.047;13.0;100;-10.0;0;0;0;0;0;99;0;0;1940;84.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
0.005;54;1361;30;40830;0.5;19.700;1.340;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.702;1.702;0.000;0.000;14.700;1.000;7.7;0.0;0;33;3.000;2.794;13.0;100;-10.0;0;0;0;0;0;99;0;0;1940;85.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
0.071;55;1379;30;41370;0.5;19.700;1.340;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.786;1.786;0.000;0.000;14.700;1.000;8.2;0.0;0;33;3.000;2.908;12.3;20;-10.0;0;0;0;0;0;99;0;0;1944;84.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
0.137;55;1370;30;41100;0.5;19.700;1.340;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.786;1.786;0.000;0.000;14.700;1.000;8.2;0.0;0;33;3.000;2.896;12.3;-60;-10.0;0;0;0;0;0;99;0;0;1944;85.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
0.201;55;1370;30;41100;0.5;19.700;1.340;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.786;1.786;0.000;0.000;14.700;1.000;8.2;0.0;0;33;3.000;2.995;12.3;-60;-10.0;0;0;0;0;0;99;0;0;1944;85.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
0.267;55;1364;30;40920;0.5;19.700;1.340;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.786;1.786;0.000;0.000;14.700;1.000;8.1;0.0;0;33;3.000;2.780;12.3;50;-10.0;0;0;0;0;0;99;0;0;1944;85.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
0.334;55;1361;30;40830;0.5;19.700;1.340;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.762;1.762;0.000;0.000;14.700;1.000;8.0;0.0;0;33;3.000;2.898;12.5;-20;-10.0;0;0;0;0;0;99;0;0;1944;85.70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
0.467;55;1364;30;40920;0.5;19.600;1.333;45;96;1;0;100;99;100;100;100;99;100;45;45;0;1.762;1.762;0.000;0.000;14.700;1.000;8.0;0.0;0;33;3.000;2.851;12.5;-20;-10.0;0;0;0;0;0;99;0;0;1944;85.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;30.0;30.0;2;0;0.00;0.00;0.00;0.0;0.0
