"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"None";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
172.739;133;1059;38;40242;0.0;13.900;0.946;45;98;1;0;100;99;100;100;100;99;100;47;47;0;1.833;1.833;0.000;0.000;14.700;1.000;6.5;0.0;0;30;3.000;2.909;12.7;180;-8.8;0;0;0;0;0;99;0;0;1938;109.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.004;133;1042;39;40638;0.0;17.200;1.170;45;98;1;0;100;99;100;100;100;99;100;47;47;0;1.841;1.841;0.000;0.000;14.700;1.000;6.4;0.0;0;30;3.000;2.844;12.7;180;-8.7;0;0;0;0;0;99;0;0;1938;111.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.004;133;1023;40;40920;0.0;19.100;1.299;45;98;1;0;100;99;100;100;100;99;100;48;48;0;1.856;1.856;0.000;0.000;14.700;1.000;6.3;0.0;0;30;3.000;2.720;12.7;-360;-8.6;0;0;0;0;0;99;0;0;1938;113.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.071;133;1031;40;41240;0.0;19.700;1.340;45;98;1;0;100;99;100;100;100;99;100;48;48;0;1.856;1.856;0.000;0.000;14.700;1.000;6.4;0.0;0;30;3.000;2.932;12.7;-360;-8.6;0;0;0;0;0;99;0;0;1938;112.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.136;133;1037;40;41480;0.0;19.700;1.340;45;98;1;0;100;99;100;100;100;99;100;48;48;0;1.856;1.856;0.000;0.000;14.700;1.000;6.4;0.0;0;30;3.000;2.871;12.7;80;-8.6;0;0;0;0;0;99;0;0;1938;112.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.201;133;1036;40;41440;0.0;19.700;1.340;45;98;1;0;100;99;100;100;100;99;100;48;48;0;1.856;1.856;0.000;0.000;14.700;1.000;6.4;0.0;0;30;3.000;2.810;12.7;90;-8.6;0;0;0;0;0;99;0;0;1938;112.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;40.0;40.0;2;0;0.00;0.00;0.00;0.0;0.0
0.337;133;1056;39;41184;0.0;19.700;1.340;45;98;1;0;100;99;100;100;100;99;100;47;47;0;1.841;1.841;0.000;0.000;14.700;1.000;6.5;0.0;0;30;3.000;2.895;12.7;90;-8.7;0;0;0;0;0;99;0;0;1938;110.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.402;133;1061;39;41379;0.0;19.700;1.340;45;98;1;0;100;99;100;100;100;99;100;48;48;0;1.848;1.848;0.000;0.000;14.700;1.000;6.5;0.0;0;30;3.000;2.997;12.7;160;-8.7;0;0;0;0;0;99;0;0;1938;109.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
0.468;134;1054;39;41106;0.0;19.700;1.340;45;98;1;0;100;99;100;100;100;99;100;47;47;0;1.841;1.841;0.000;0.000;14.700;1.000;6.5;0.0;0;30;3.000;2.807;12.7;-20;-8.7;0;0;0;0;0;99;0;0;1943;110.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;39.0;39.0;2;0;0.00;0.00;0.00;0.0;0.0
