"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Error #";"Error ID";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"";"";"None";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;71;1410;44;62040;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.5;0.0;0;31;3.000;2.933;12.9;-170;0;0;-8.0;0;0;0;0;0;99;0;0;1868;79.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.000;71;1426;44;62744;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.6;0.0;0;31;3.000;2.917;12.9;290;0;0;-8.0;0;0;0;0;0;99;0;0;1868;78.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.081;71;1408;44;61952;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.5;0.0;0;31;3.000;2.751;12.9;290;0;0;-8.0;0;0;0;0;0;99;0;0;1868;79.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.140;71;1404;44;61776;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.5;0.0;0;31;3.000;2.826;12.9;-210;0;0;-8.0;0;0;0;0;0;99;0;0;1868;79.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.205;71;1422;44;62568;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.6;0.0;0;31;3.000;2.839;12.9;200;0;0;-8.0;0;0;0;0;0;99;0;0;1868;78.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.270;71;1397;44;61468;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.4;0.0;0;31;3.000;2.833;12.9;200;0;0;-8.0;0;0;0;0;0;99;0;0;1868;80.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.270;71;1425;44;62700;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.6;0.0;0;31;3.000;3.083;12.9;-230;0;0;-8.0;0;0;0;0;0;99;0;0;1868;78.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.335;71;1391;44;61204;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.4;0.0;0;31;3.000;2.613;12.9;-140;0;0;-8.0;0;0;0;0;0;99;0;0;1868;80.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.401;71;1426;44;62744;10.0;19.700;1.340;28;52;9;0;100;101;100;121;100;122;100;52;52;0;2.027;2.027;0.000;0.000;14.700;1.000;9.6;0.0;0;31;3.000;3.099;12.9;-140;0;0;-8.0;0;0;0;0;0;99;0;0;1868;78.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
