"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;30;1006;38;38228;0.0;12.000;0.816;18;79;9;0;100;103;100;103;100;106;100;42;42;0;1.388;1.388;0.000;0.000;14.700;1.000;4.7;0.0;0;30;3.000;2.885;13.0;-80;-8.8;0;0;0;0;42;99;0;0;1786;106.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.000;30;1008;37;37296;0.0;12.100;0.823;18;79;9;0;100;103;100;103;100;106;100;42;42;0;1.373;1.373;0.000;0.000;14.700;1.000;4.6;0.0;0;30;3.000;3.207;13.1;-80;-9.0;0;0;0;0;42;99;0;0;1786;106.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.002;30;1004;37;37148;0.0;12.200;0.830;18;79;9;0;100;103;100;103;100;106;100;42;42;0;1.373;1.373;0.000;0.000;14.700;1.000;4.6;0.0;0;30;3.000;2.838;13.1;20;-9.0;0;0;0;0;42;99;0;0;1786;106.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.071;30;1017;38;38646;0.0;12.100;0.823;18;79;9;0;100;103;100;103;100;106;100;43;43;0;1.395;1.395;0.000;0.000;14.700;1.000;4.7;0.0;0;30;3.000;3.091;13.1;100;-8.8;0;0;0;0;42;99;0;0;1786;105.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.136;30;1015;37;37555;0.0;12.100;0.823;18;79;9;0;100;103;100;103;100;106;100;42;42;0;1.373;1.373;0.000;0.000;14.700;1.000;4.6;0.0;0;30;3.000;2.766;13.1;100;-9.0;0;0;0;0;42;99;0;0;1786;105.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.202;30;1018;37;37666;0.0;12.200;0.830;18;79;9;0;100;103;100;103;100;106;100;42;42;0;1.373;1.373;0.000;0.000;14.700;1.000;4.7;0.0;0;30;3.000;2.717;12.9;-30;-9.0;0;0;0;0;42;99;0;0;1786;105.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.268;30;995;37;36815;0.0;12.200;0.830;18;79;9;0;100;103;100;103;100;106;100;41;41;0;1.360;1.360;0.000;0.000;14.700;1.000;4.5;0.0;0;29;3.000;2.337;12.9;-200;-9.0;0;0;0;0;42;99;0;0;1786;107.70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.337;30;996;38;37848;0.0;12.000;0.816;18;79;9;0;100;103;100;103;100;106;100;42;42;0;1.388;1.388;0.000;0.000;14.700;1.000;4.6;0.0;0;30;3.000;2.842;12.9;-200;-8.8;0;0;0;0;42;99;0;0;1786;107.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.403;30;985;38;37430;0.0;12.000;0.816;18;79;9;0;100;103;100;103;100;106;100;42;42;0;1.388;1.388;0.000;0.000;14.700;1.000;4.6;0.0;0;29;3.000;2.647;12.9;10;-8.8;0;0;0;0;42;99;0;0;1786;108.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
