"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"None";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;90;892;41;36572;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.015;2.015;0.000;0.000;14.700;1.000;6.0;0.0;0;27;3.000;2.913;12.8;-200;-8.4;0;0;0;0;0;99;0;0;1868;125.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.001;90;898;41;36818;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.015;2.015;0.000;0.000;14.700;1.000;6.0;0.0;0;27;3.000;3.123;12.8;-200;-8.4;0;0;0;0;0;99;0;0;1868;124.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.069;90;898;41;36818;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.015;2.015;0.000;0.000;14.700;1.000;6.0;0.0;0;27;3.000;2.952;12.8;40;-8.4;0;0;0;0;0;99;0;0;1868;124.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.135;90;896;41;36736;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.015;2.015;0.000;0.000;14.700;1.000;6.0;0.0;0;27;3.000;2.705;12.8;50;-8.4;0;0;0;0;0;99;0;0;1868;125.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.204;90;892;41;36572;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.015;2.015;0.000;0.000;14.700;1.000;6.0;0.0;0;27;3.000;2.938;12.8;50;-8.4;0;0;0;0;0;99;0;0;1868;125.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.270;90;891;41;36531;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.015;2.015;0.000;0.000;14.700;1.000;6.0;0.0;0;27;3.000;2.816;12.8;-50;-8.4;0;0;0;0;0;99;0;0;1868;125.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.335;90;880;41;36080;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.015;2.015;0.000;0.000;14.700;1.000;5.9;0.0;0;27;3.000;2.959;12.8;-110;-8.4;0;0;0;0;0;99;0;0;1868;127.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.401;90;868;42;36456;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.024;2.024;0.000;0.000;14.700;1.000;5.9;0.0;0;26;3.000;2.725;12.9;-110;-8.3;0;0;0;0;0;99;0;0;1868;129.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
0.471;90;852;42;35784;0.5;19.700;1.340;25;37;9;0;100;102;100;138;100;141;100;47;47;0;2.024;2.024;0.000;0.000;14.700;1.000;5.7;0.0;0;26;3.000;2.716;12.9;-120;-8.3;0;0;0;0;0;99;0;0;1868;131.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
