"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Idle Target RPM";"Idle RPM Delta";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"RPM";"";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
72.471;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.002;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.002;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.070;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.201;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.266;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.336;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.336;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.467;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.537;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.602;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.667;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.733;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.803;45;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4045;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.868;46;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4026;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.868;46;0;101;0;0.0;15.200;1.034;6;21;0;0;100;105;100;150;100;173;100;83;83;0;0.000;3.877;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.680;5.356;0.0;0;0.0;0;0;0;0;90;1060;1060;101;0;0;4026;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
