"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"None";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;12;1156;36;41616;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.321;1.321;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.922;12.1;-50;-9.3;0;0;0;0;0;100;0;0;1937;100.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;36.0;36.0;2;0;0.00;0.00;0.00;0.0;0.0
0.000;12;1138;36;40968;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.321;1.321;0.000;0.000;14.700;1.000;5.0;0.0;0;31;3.000;2.641;12.1;-50;-9.3;0;0;0;0;0;100;0;0;1937;102.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;36.0;36.0;2;0;0.00;0.00;0.00;0.0;0.0
0.065;12;1139;37;42143;0.0;11.900;0.810;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.720;12.1;-130;-9.1;0;0;0;0;0;100;0;0;1937;102.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.131;12;1138;37;42106;0.0;11.900;0.810;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;31;3.000;3.047;12.1;-80;-9.1;0;0;0;0;0;100;0;0;1937;102.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.196;12;1121;37;41477;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.659;12.4;-80;-9.1;0;0;0;0;0;100;0;0;1937;103.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.262;12;1125;37;41625;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.857;12.4;-120;-9.1;0;0;0;0;0;100;0;0;1937;103.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.327;12;1131;37;41847;0.0;12.200;0.830;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;3.107;12.4;50;-9.1;0;0;0;0;0;100;0;0;1937;102.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.327;12;1136;37;42032;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.687;12.4;50;-9.1;0;0;0;0;0;100;0;0;1937;102.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.463;13;1144;37;42328;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.339;1.339;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.030;3.123;11.9;-90;-9.1;0;0;0;0;0;100;0;0;1923;100.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.528;13;1140;37;42180;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.339;1.339;0.000;0.000;14.700;1.000;5.1;0.0;0;30;3.030;2.639;11.9;180;-9.1;0;0;0;0;0;100;0;0;1923;101.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.597;13;1141;37;42217;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.339;1.339;0.000;0.000;14.700;1.000;5.1;0.0;0;30;3.030;2.704;11.9;180;-9.1;0;0;0;0;0;100;0;0;1923;101.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.663;13;1134;37;41958;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.339;1.339;0.000;0.000;14.700;1.000;5.1;0.0;0;30;3.030;3.108;11.9;-140;-9.1;0;0;0;0;0;100;0;0;1923;101.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.729;13;1123;37;41551;0.0;11.800;0.803;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.0;0.0;0;31;3.000;2.771;12.3;-140;-9.1;0;0;0;0;0;100;0;0;1923;102.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.795;13;1135;37;41995;0.0;12.200;0.830;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.847;12.3;-30;-9.1;0;0;0;0;0;100;0;0;1923;101.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.864;13;1137;37;42069;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;3.367;12.3;-20;-9.1;0;0;0;0;0;100;0;0;1923;101.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.930;13;1131;37;41847;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.876;12.3;-20;-9.1;0;0;0;0;0;100;0;0;1923;102.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.999;13;1139;37;42143;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.936;12.5;100;-9.1;0;0;0;0;0;100;0;0;1923;101.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.065;13;1147;37;42439;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.726;12.5;-10;-9.1;0;0;0;0;0;100;0;0;1923;100.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.131;13;1155;37;42735;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.974;12.5;-10;-9.1;0;0;0;0;0;100;0;0;1923;99.90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.131;13;1161;37;42957;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.2;0.0;0;31;3.000;3.063;12.3;250;-9.1;0;0;0;0;0;100;0;0;1923;99.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.261;13;1152;36;41472;0.0;12.200;0.830;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.321;1.321;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.760;12.3;50;-9.3;0;0;0;0;0;100;0;0;1923;100.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;36.0;36.0;2;0;0.00;0.00;0.00;0.0;0.0
1.331;13;1154;36;41544;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.321;1.321;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.860;12.3;50;-9.3;0;0;0;0;0;100;0;0;1923;99.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;36.0;36.0;2;0;0.00;0.00;0.00;0.0;0.0
1.396;13;1144;36;41184;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.321;1.321;0.000;0.000;14.700;1.000;5.0;0.0;0;31;3.000;2.918;12.3;-60;-9.3;0;0;0;0;0;100;0;0;1923;100.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;36.0;36.0;2;0;0.00;0.00;0.00;0.0;0.0
1.463;14;1126;37;41662;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.679;12.5;-180;-9.1;0;0;0;0;0;100;0;0;1927;102.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.531;14;1143;37;42291;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.930;12.5;-180;-9.1;0;0;0;0;0;100;0;0;1927;101.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.531;14;1145;37;42365;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;3.075;12.5;100;-9.1;0;0;0;0;0;100;0;0;1927;100.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.663;14;1136;37;42032;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.949;12.5;0;-9.1;0;0;0;0;0;100;0;0;1927;101.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.729;14;1146;37;42402;0.0;12.300;0.837;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.950;12.7;0;-9.1;0;0;0;0;0;100;0;0;1927;100.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.798;14;1152;37;42624;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.653;12.7;10;-9.1;0;0;0;0;0;100;0;0;1927;100.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.863;14;1157;37;42809;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.952;12.7;100;-9.1;0;0;0;0;0;100;0;0;1927;99.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.929;14;1148;37;42476;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.899;12.7;100;-9.1;0;0;0;0;0;100;0;0;1927;100.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.929;14;1140;36;41040;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.321;1.321;0.000;0.000;14.700;1.000;5.0;0.0;0;31;3.000;2.892;12.7;-100;-9.3;0;0;0;0;0;100;0;0;1927;101.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;36.0;36.0;2;0;0.00;0.00;0.00;0.0;0.0
2.063;14;1153;37;42661;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.932;12.7;80;-9.1;0;0;0;0;0;100;0;0;1927;100.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
2.130;14;1148;37;42476;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.975;12.7;80;-9.1;0;0;0;0;0;100;0;0;1927;100.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
2.194;14;1128;36;40608;0.0;12.200;0.830;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.321;1.321;0.000;0.000;14.700;1.000;5.0;0.0;0;31;3.000;2.621;12.7;-100;-9.3;0;0;0;0;0;100;0;0;1927;102.50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;36.0;36.0;2;0;0.00;0.00;0.00;0.0;0.0
2.194;14;1137;37;42069;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;39;39;0;1.335;1.335;0.000;0.000;14.700;1.000;5.1;0.0;0;31;3.000;2.918;12.7;-80;-9.1;0;0;0;0;0;100;0;0;1927;101.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
2.329;14;1122;37;41514;0.0;12.300;0.837;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;31;3.000;2.940;12.7;-80;-9.1;0;0;0;0;0;100;0;0;1927;103.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
2.395;14;1126;37;41662;0.0;12.000;0.816;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.786;12.7;-110;-9.1;0;0;0;0;0;100;0;0;1927;102.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
2.461;15;1129;37;41773;0.0;12.200;0.830;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;31;3.000;2.916;12.7;30;-9.1;0;0;0;0;0;100;0;0;1943;103.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
2.527;15;1127;37;41699;0.0;12.100;0.823;23;99;1;0;100;102;100;100;100;102;100;38;38;0;1.329;1.329;0.000;0.000;14.700;1.000;5.0;0.0;0;30;3.000;2.744;12.7;30;-9.1;0;0;0;0;0;100;0;0;1943;103.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
