"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Error #";"Error ID";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"";"";"Steps";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;194;1133;44;49852;2.5;11.000;0.748;37;92;1;0;100;100;100;100;100;100;100;37;37;0;1.569;1.569;0.000;0.000;14.700;1.000;5.9;0.0;0;30;3.000;2.797;12.8;-130;0;0;-7.8;0;0;0;0;159;98;0;0;1875;99.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.000;195;1121;44;49324;2.5;10.900;0.741;37;92;1;0;100;100;100;100;100;100;100;37;37;0;1.559;1.559;0.000;0.000;14.700;1.000;5.8;0.0;0;30;3.000;2.861;12.9;-90;0;0;-7.8;0;0;0;0;159;98;0;0;1876;100.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.014;195;1135;44;49940;2.5;11.100;0.755;37;92;1;0;100;100;100;100;100;100;100;37;37;0;1.559;1.559;0.000;0.000;14.700;1.000;5.9;0.0;0;30;3.000;2.891;12.9;-90;0;0;-7.8;0;0;0;0;159;98;0;0;1876;99.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.140;195;1143;44;50292;2.5;11.000;0.748;37;92;1;0;100;100;100;100;100;100;100;37;37;0;1.559;1.559;0.000;0.000;14.700;1.000;5.9;0.0;0;30;3.000;3.027;12.9;50;0;0;-7.8;0;0;0;0;159;98;0;0;1876;98.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.140;195;1143;44;50292;2.5;11.100;0.755;37;92;1;0;100;100;100;100;100;100;100;37;37;0;1.559;1.559;0.000;0.000;14.700;1.000;5.9;0.0;0;30;3.000;2.923;12.9;50;0;0;-7.8;0;0;0;0;159;98;0;0;1876;98.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.269;195;1132;44;49808;2.5;10.900;0.741;37;92;1;0;100;100;100;100;100;100;100;37;37;0;1.519;1.519;0.000;0.000;14.700;1.000;5.7;0.0;0;30;3.000;2.787;13.3;170;0;0;-7.8;0;0;0;0;159;98;0;0;1876;99.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;44.0;44.0;2;0;0.00;0.00;0.00;0.0;0.0
0.269;195;1148;43;49364;2.5;11.100;0.755;37;92;1;0;100;100;100;100;100;100;100;37;37;0;1.512;1.512;0.000;0.000;14.700;1.000;5.8;0.0;0;31;3.000;3.149;13.3;-220;0;0;-8.0;0;0;0;0;159;98;0;0;1876;98.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;43.0;43.0;2;0;0.00;0.00;0.00;0.0;0.0
0.335;195;1153;43;49579;2.5;11.100;0.755;37;92;1;0;100;100;100;100;100;100;100;37;37;0;1.512;1.512;0.000;0.000;14.700;1.000;5.8;0.0;0;30;3.000;2.959;13.3;-220;0;0;-8.0;0;0;0;0;159;98;0;0;1876;97.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;43.0;43.0;2;0;0.00;0.00;0.00;0.0;0.0
0.401;195;1141;43;49063;2.5;11.200;0.762;37;92;1;0;100;100;100;100;100;100;100;36;36;0;1.504;1.504;0.000;0.000;14.700;1.000;5.7;0.0;0;30;3.000;2.924;13.3;230;0;0;-8.0;0;0;0;0;159;98;0;0;1876;98.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;43.0;43.0;2;0;0.00;0.00;0.00;0.0;0.0
