14	18	20	22	24	26	28	30	32	33	33	33	33	32	31	30
16	20	22	24	26	28	30	32	34	34	34	34	34	33	32	31
18	22	24	26	28	30	32	34	35	35	35	35	35	34	33	32
18	24	26	28	30	32	34	35	36	36	36	36	36	35	34	33
18	26	28	30	32	33	35	36	37	37	37	37	37	36	35	34
18	28	30	32	33	34	36	37	38	38	38	38	38	37	36	35
18	30	32	33	34	35	37	38	39	39	39	39	39	38	37	36
18	30	32	34	35	36	38	39	40	40	40	40	40	39	38	37
18	30	32	34	36	37	39	40	40	40	40	40	40	40	39	38
18	30	32	34	36	38	40	40	40	40	40	40	40	40	40	39
18	30	34	36	37	39	40	40	40	40	40	40	40	40	40	40
18	32	34	36	38	40	40	40	40	40	40	40	40	40	40	40
18	32	34	36	38	40	40	40	40	40	40	40	40	40	40	40
18	32	34	36	38	40	40	40	40	40	40	40	40	40	40	40
18	32	34	36	38	40	40	40	40	40	40	40	40	40	40	40
18	32	34	36	38	40	40	40	40	40	40	40	40	40	40	40
