"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Error #";"Error ID";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"";"";"Steps";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;125;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4110;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.025;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.025;126;0;99;0;0.0;15.000;1.020;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.144;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.218;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.218;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.279;126;0;99;0;0.0;15.000;1.020;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.341;126;0;99;0;0.0;15.000;1.020;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.407;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.472;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.603;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.669;126;0;99;0;0.0;15.000;1.020;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.738;126;0;99;0;0.0;15.000;1.020;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.803;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.869;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.935;126;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4100;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.005;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.005;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.140;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.206;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.277;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.340;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.406;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.471;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.471;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.607;127;0;99;0;0.0;15.000;1.020;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.673;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.740;127;0;99;0;0.0;14.900;1.014;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.808;127;0;99;0;0.0;15.000;1.020;3;15;0;0;100;0;100;0;0;0;0;80;80;0;0.000;0.000;0.000;0.000;0.000;0.000;0.0;0.0;0;22;0.000;0.000;0.0;0;0;0;-0.1;0;0;0;0;81;100;0;0;4107;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
