	500	700	900	1100	1300	1600	1900	2200	2500	3000	3500	4000	4500	5000	5600	6200
10	40	40	40	40	40	41	41	41	41	41	41	41	40	39	38	37
16	41	41	41	42	14	11	12	18	21	23	32	45	44	43	42	41
20	41	41	42	12	10	10	13	20	23	25	33	47	46	45	44	43
26	41	43	44	46	11	11	15	23	25	30	38	49	48	47	46	45
30	42	48	48	49	46	49	46	43	40	42	46	47	50	49	48	47
36	44	50	51	52	51	48	43	49	42	46	53	48	52	51	50	49
40	47	56	57	62	63	55	55	56	48	55	50	54	55	53	52	51
46	51	63	62	64	71	69	64	63	60	61	57	59	58	56	55	52
50	55	67	65	63	70	75	80	76	66	68	64	62	61	59	57	55
56	60	68	72	85	87	86	76	74	71	74	67	65	64	62	60	58
66	65	72	83	96	97	90	78	66	84	84	71	69	68	65	63	61
74	69	75	91	78	84	86	90	93	90	91	75	74	71	69	67	64
80	77	82	85	75	76	85	91	103	100	93	81	79	77	74	72	70
88	81	90	89	83	97	107	110	105	95	86	84	83	80	77	76	72
96	87	88	97	126	118	102	91	92	92	91	90	87	84	81	79	76
100	89	92	98	118	111	102	89	90	94	94	94	92	89	86	83	81	78
