"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;116;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3968;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.000;116;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3968;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.066;116;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3968;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.134;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.200;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.200;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.331;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.397;117;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.466;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.532;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.598;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.667;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.737;117;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.806;117;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.870;117;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.936;117;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.003;117;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.070;117;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3957;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.135;118;0;99;0;0.0;14.900;1.014;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3970;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.202;118;0;99;0;0.0;15.000;1.020;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3970;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.202;118;0;99;0;0.0;15.100;1.027;18;86;0;0;100;103;100;101;100;104;100;63;63;0;0.000;1.598;0.000;0.000;14.600;0.993;0.0;0.0;0;14;3.180;3.195;0.0;0;0.0;0;0;0;0;57;99;0;0;3970;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
